,work_year,experience_level,job_title,salary,salary_currency,salary_in_usd,company_location,company_size
180,2021,MI,Big Data Engineer,1672000,INR,22611,IN,L
181,2021,MI,Data Scientist,76760,EUR,90734,DE,L
182,2021,MI,Data Engineer,22000,EUR,26005,US,L
183,2021,SE,Finance Data Analyst,45000,GBP,61896,GB,L
184,2021,MI,Machine Learning Scientist,12000,USD,12000,PK,M
185,2021,MI,Data Engineer,4000,USD,4000,IR,M
186,2021,SE,Data Analytics Engineer,50000,USD,50000,GB,M
187,2021,EX,Data Science Consultant,59000,EUR,69741,ES,S
188,2021,SE,Data Engineer,65000,EUR,76833,GB,S
189,2021,MI,Machine Learning Engineer,74000,USD,74000,JP,S
190,2021,SE,Data Science Manager,152000,USD,152000,FR,L
191,2021,EN,Machine Learning Engineer,21844,USD,21844,CO,M
192,2021,MI,Big Data Engineer,18000,USD,18000,MD,S
193,2021,SE,Data Science Manager,174000,USD,174000,US,L
194,2021,SE,Research Scientist,120500,CAD,96113,CA,L
195,2021,MI,Data Scientist,147000,USD,147000,US,L
196,2021,EN,BI Data Analyst,9272,USD,9272,KE,S
197,2021,SE,Machine Learning Engineer,1799997,INR,24342,IN,L
198,2021,SE,Data Science Manager,4000000,INR,54094,US,L
199,2021,EN,Data Science Consultant,90000,USD,90000,US,S
200,2021,MI,Data Scientist,52000,EUR,61467,AT,M
201,2021,SE,Machine Learning Infrastructure Engineer,195000,USD,195000,US,M
202,2021,MI,Data Scientist,32000,EUR,37825,ES,L
203,2021,SE,Research Scientist,50000,USD,50000,US,S
204,2021,MI,Data Scientist,160000,USD,160000,US,L
205,2021,MI,Data Scientist,69600,BRL,12901,BR,S
206,2021,SE,Machine Learning Engineer,200000,USD,200000,US,L
207,2021,SE,Data Engineer,165000,USD,165000,US,M
208,2021,MI,Data Engineer,20000,USD,20000,US,L
209,2021,SE,Data Analytics Manager,120000,USD,120000,US,L
210,2021,MI,Machine Learning Engineer,21000,EUR,24823,SI,L
211,2021,MI,Research Scientist,48000,EUR,56738,FR,S
212,2021,MI,Data Engineer,48000,GBP,66022,GB,S
213,2021,EN,Big Data Engineer,435000,INR,5882,CH,L
214,2021,EN,Machine Learning Engineer,21000,EUR,24823,DE,M
215,2021,SE,Principal Data Engineer,185000,USD,185000,US,L
216,2021,EN,Computer Vision Engineer,180000,DKK,28609,DK,S
217,2021,MI,Data Scientist,76760,EUR,90734,DE,L
218,2021,MI,Machine Learning Engineer,75000,EUR,88654,BE,M
219,2021,SE,Data Analytics Manager,140000,USD,140000,US,L
220,2021,MI,Machine Learning Engineer,180000,PLN,46597,PL,L
221,2021,MI,Data Scientist,85000,GBP,116914,GB,L
222,2021,MI,Data Scientist,2500000,INR,33808,IN,M
223,2021,MI,Data Scientist,40900,GBP,56256,GB,L
224,2021,SE,Machine Learning Scientist,225000,USD,225000,CA,L
225,2021,EX,Principal Data Scientist,416000,USD,416000,US,S
226,2021,SE,Data Scientist,110000,CAD,87738,CA,S
227,2021,MI,Data Scientist,75000,EUR,88654,DE,L
228,2021,SE,Data Scientist,135000,USD,135000,US,L
229,2021,SE,Data Analyst,90000,CAD,71786,CA,M
230,2021,EN,Big Data Engineer,1200000,INR,16228,IN,L
231,2021,SE,ML Engineer,256000,USD,256000,US,S
232,2021,SE,Director of Data Engineering,200000,USD,200000,US,L
233,2021,SE,Data Analyst,200000,USD,200000,US,L
234,2021,MI,Data Architect,180000,USD,180000,US,L
235,2021,MI,Head of Data Science,110000,USD,110000,US,S
236,2021,MI,Research Scientist,80000,CAD,63810,CA,M
237,2021,MI,Data Scientist,39600,EUR,46809,ES,M
238,2021,EN,Data Scientist,4000,USD,4000,VN,M
239,2021,EN,Data Engineer,1600000,INR,21637,IN,M
240,2021,SE,Data Scientist,130000,CAD,103691,CA,L
241,2021,MI,Data Analyst,80000,USD,80000,US,L
242,2021,MI,Data Engineer,110000,USD,110000,US,L
243,2021,SE,Data Scientist,165000,USD,165000,US,L
244,2021,EN,AI Scientist,1335000,INR,18053,AS,S
245,2021,MI,Data Engineer,52500,GBP,72212,GB,L
246,2021,EN,Data Scientist,31000,EUR,36643,FR,L
247,2021,MI,Data Engineer,108000,TRY,12103,TR,M
248,2021,SE,Data Engineer,70000,GBP,96282,GB,L
249,2021,SE,Principal Data Analyst,170000,USD,170000,US,M
250,2021,MI,Data Scientist,115000,USD,115000,US,L
251,2021,EN,Data Scientist,90000,USD,90000,US,S
252,2021,EX,Principal Data Engineer,600000,USD,600000,US,L
253,2021,EN,Data Scientist,2100000,INR,28399,IN,M
254,2021,MI,Data Analyst,93000,USD,93000,US,L
255,2021,SE,Big Data Architect,125000,CAD,99703,CA,M
256,2021,MI,Data Engineer,200000,USD,200000,US,L
257,2021,SE,Principal Data Scientist,147000,EUR,173762,DE,M
258,2021,SE,Machine Learning Engineer,185000,USD,185000,US,L
259,2021,EX,Director of Data Science,120000,EUR,141846,DE,L
260,2021,MI,Data Scientist,130000,USD,130000,US,L
261,2021,SE,Data Analyst,54000,EUR,63831,DE,L
262,2021,MI,Data Scientist,1250000,INR,16904,IN,S
263,2021,SE,Machine Learning Engineer,4900000,INR,66265,IN,L
264,2021,MI,Data Scientist,21600,EUR,25532,DE,S
265,2021,SE,Lead Data Engineer,160000,USD,160000,US,S
266,2021,MI,Data Engineer,93150,USD,93150,US,M
267,2021,MI,Data Engineer,111775,USD,111775,US,M
268,2021,MI,Data Engineer,250000,TRY,28016,TR,M
269,2021,EN,Data Engineer,55000,EUR,65013,DE,M
270,2021,EN,Data Engineer,72500,USD,72500,US,L
271,2021,SE,Computer Vision Engineer,102000,BRL,18907,BR,M
272,2021,EN,Data Science Consultant,65000,EUR,76833,DE,L
273,2021,EN,Machine Learning Engineer,85000,USD,85000,DE,S
274,2021,SE,Data Scientist,65720,EUR,77684,FR,M
275,2021,EN,Data Scientist,100000,USD,100000,US,M
276,2021,EN,Data Scientist,58000,USD,58000,US,L
277,2021,SE,AI Scientist,55000,USD,55000,ES,L
278,2021,SE,Data Scientist,180000,TRY,20171,TR,L
279,2021,EN,Business Data Analyst,50000,EUR,59102,LU,L
280,2021,MI,Data Engineer,112000,USD,112000,US,L
281,2021,EN,Research Scientist,100000,USD,100000,CN,L
282,2021,MI,Data Engineer,59000,EUR,69741,NL,L
283,2021,SE,Staff Data Scientist,105000,USD,105000,US,M
284,2021,MI,Research Scientist,69999,USD,69999,CZ,L
285,2021,SE,Data Science Manager,7000000,INR,94665,IN,L
286,2021,SE,Head of Data,87000,EUR,102839,SI,L
287,2021,MI,Data Scientist,109000,USD,109000,US,L
288,2021,MI,Machine Learning Engineer,43200,EUR,51064,IT,L
289,2022,SE,Data Engineer,135000,USD,135000,US,M
290,2022,SE,Data Analyst,155000,USD,155000,US,M
291,2022,SE,Data Analyst,120600,USD,120600,US,M
292,2022,MI,Data Scientist,130000,USD,130000,US,M
293,2022,MI,Data Scientist,90000,USD,90000,US,M
294,2022,MI,Data Engineer,170000,USD,170000,US,M
295,2022,MI,Data Engineer,150000,USD,150000,US,M
296,2022,SE,Data Analyst,102100,USD,102100,US,M
297,2022,SE,Data Analyst,84900,USD,84900,US,M
298,2022,SE,Data Scientist,136620,USD,136620,US,M
299,2022,SE,Data Scientist,99360,USD,99360,US,M
300,2022,SE,Data Scientist,90000,GBP,117789,GB,M
301,2022,SE,Data Scientist,80000,GBP,104702,GB,M
302,2022,SE,Data Scientist,146000,USD,146000,US,M
303,2022,SE,Data Scientist,123000,USD,123000,US,M
304,2022,EN,Data Engineer,40000,GBP,52351,GB,M
305,2022,SE,Data Analyst,99000,USD,99000,US,M
306,2022,SE,Data Analyst,116000,USD,116000,US,M
307,2022,MI,Data Analyst,106260,USD,106260,US,M
308,2022,MI,Data Analyst,126500,USD,126500,US,M
309,2022,EX,Data Engineer,242000,USD,242000,US,M
310,2022,EX,Data Engineer,200000,USD,200000,US,M
311,2022,MI,Data Scientist,50000,GBP,65438,GB,M
312,2022,MI,Data Scientist,30000,GBP,39263,GB,M
313,2022,MI,Data Engineer,60000,GBP,78526,GB,M
314,2022,MI,Data Engineer,40000,GBP,52351,GB,M
315,2022,SE,Data Scientist,165220,USD,165220,US,M
316,2022,EN,Data Engineer,35000,GBP,45807,GB,M
317,2022,SE,Data Scientist,120160,USD,120160,US,M
318,2022,SE,Data Analyst,90320,USD,90320,US,M
319,2022,SE,Data Engineer,181940,USD,181940,US,M
320,2022,SE,Data Engineer,132320,USD,132320,US,M
321,2022,SE,Data Engineer,220110,USD,220110,US,M
322,2022,SE,Data Engineer,160080,USD,160080,US,M
323,2022,SE,Data Scientist,180000,USD,180000,US,L
324,2022,SE,Data Scientist,120000,USD,120000,US,L
325,2022,SE,Data Analyst,124190,USD,124190,US,M
326,2022,EX,Data Analyst,130000,USD,130000,US,M
327,2022,EX,Data Analyst,110000,USD,110000,US,M
328,2022,SE,Data Analyst,170000,USD,170000,US,M
329,2022,MI,Data Analyst,115500,USD,115500,US,M
330,2022,SE,Data Analyst,112900,USD,112900,US,M
331,2022,SE,Data Analyst,90320,USD,90320,US,M
332,2022,SE,Data Analyst,112900,USD,112900,US,M
333,2022,SE,Data Analyst,90320,USD,90320,US,M
334,2022,SE,Data Engineer,165400,USD,165400,US,M
335,2022,SE,Data Engineer,132320,USD,132320,US,M
336,2022,MI,Data Analyst,167000,USD,167000,US,M
337,2022,SE,Data Engineer,243900,USD,243900,US,M
338,2022,SE,Data Analyst,136600,USD,136600,US,M
339,2022,SE,Data Analyst,109280,USD,109280,US,M
340,2022,SE,Data Engineer,128875,USD,128875,US,M
341,2022,SE,Data Engineer,93700,USD,93700,US,M
342,2022,EX,Head of Data Science,224000,USD,224000,US,M
343,2022,EX,Head of Data Science,167875,USD,167875,US,M
344,2022,EX,Analytics Engineer,175000,USD,175000,US,M
345,2022,SE,Data Engineer,156600,USD,156600,US,M
346,2022,SE,Data Engineer,108800,USD,108800,US,M
347,2022,SE,Data Scientist,95550,USD,95550,US,M
348,2022,SE,Data Engineer,113000,USD,113000,US,L
349,2022,SE,Data Analyst,135000,USD,135000,US,M
350,2022,SE,Data Science Manager,161342,USD,161342,US,M
351,2022,SE,Data Science Manager,137141,USD,137141,US,M
352,2022,SE,Data Scientist,167000,USD,167000,US,M
353,2022,SE,Data Scientist,123000,USD,123000,US,M
354,2022,SE,Data Engineer,60000,GBP,78526,GB,M
355,2022,SE,Data Engineer,50000,GBP,65438,GB,M
356,2022,SE,Data Scientist,150000,USD,150000,US,M
